,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,first_case,Start date,End date,Length (days),Level
52,Slovenia,1343528,,"7,100                                ",,"1,328,006",,"8,422",8,"646,538","3,417","2,847,701","1,370,382","2,078,034 ",Europe,2,293,1,,,"4,053",4 March 2020,Non-Lockdown,,,
53,Lithuania,1319221,,"9,673                                ",,"1,307,951",,"1,597",1,"495,629","3,634","10,442,463","3,923,219","2,661,708 ",Europe,2,275,0,,,600,28 February 2020,2020-03-16,2020-06-18,94,National
54,Bulgaria,1305669,,"38,350                                ",,"1,264,779",,"2,540",24,"190,759","5,603","11,200,663","1,636,424","6,844,597 ",Europe,5,178,1,,,371,8 March 2020,2020-03-13,2020-06-15,94,National
55,Morocco,1273463,,"16,297                                ",,"1,256,151",,"1,015",3,"33,714",431,"13,001,033","344,191","37,772,756 ",Africa,30,"2,318",3,,,27,2 March 2020,2020-03-19,2020-06-10,83,National
56,Croatia,1273256,,"18,213                                ",,"1,254,564",,479,6,"313,665","4,487","5,588,632","1,376,752","4,059,286 ",Europe,3,223,1,,,118,25 February 2020,2020-03-18,2020-05-11,32,National
57,Guatemala,1249615,,"20,198                                ",,"1,227,832",,"1,585",5,"67,241","1,087","7,260,821","390,702","18,584,039 ",North America,15,920,3,,,85,13 March 2020,Non-Lockdown,,,
58,Lebanon,1237127,,"10,906                                ",,"1,087,587",,"138,634",74,"185,064","1,631","4,795,578","717,380","6,684,849 ",Asia,5,613,1,,,"20,739",21 February 2020,2020-03-15,2020-03-28,13,National
59,Costa Rica,1229587,,"9,362                                ",,"860,711",,"359,514",52,"237,264","1,807","4,659,757","899,158","5,182,354 ",North America,4,554,1,,,"69,373",6 March 2020,2020-03-23,2020-05-01,39,National
60,Bolivia,1197788,,"22,382                                ",,"1,166,919",,"8,487",220,"99,877","1,866","2,705,422","225,590","11,992,656 ",South America,10,536,4,,,708,10 March 2020,2020-03-22,2020-07-31,131,National
61,Tunisia,1153063,,"29,407                                ",,N/A,N/A,N/A,44,"95,716","2,441","5,011,219","415,984","12,046,656 ",Africa,10,410,2,,,"1,134",2 March 2020,2020-03-22,2020-04-19,28,National
62,Cuba,1113542,,"8,530                                ",,"1,104,838",,174,2,"98,494",754,"14,345,279","1,268,859","11,305,652 ",North America,10,"1,325",1,,,15,11 March 2020,Non-Lockdown,,,
63,UAE,1064502,,"2,349                                ",,"1,049,329",,"12,824",,"105,587",233,"200,468,424","19,884,219","10,081,785 ",Asia,9,"4,292",0,,,"1,272",29 January 2020,2020-03-26,2020-04-17,22,National
64,Ecuador,1061100,,"36,019                                ",,"1,023,974",,"1,107",759,"58,581","1,989","3,082,403","170,173","18,113,361 ",South America,17,503,6,,,61,29 February 2020,2020-03-16,2020-03-31,15,National
65,Panama,1037978,,"8,622                                ",,"1,028,773",,583,16,"233,413","1,939","7,671,671","1,725,148","4,446,964 ",North America,4,516,1,,,131,9 March 2020,2020-03-25,2020-05-31 (downgraded to a night and weekend curfew),67,National
66,Uruguay,1037893,,"7,625                                ",,"1,029,835",,433,18,"296,879","2,181","6,114,822","1,749,083","3,496,016 ",South America,3,458,1,,,124,13 March 2020,Non-Lockdown,,,
67,Mongolia,1008038,,"2,179                                ",,"1,005,814",,45,192,"298,406",645,"4,030,048","1,193,000","3,378,078 ",Asia,3,"1,550",1,,,13,10 March 2020,2020-03-10,2020-03-16,6,National
68,Nepal,1003174,,"12,031                                ",,"991,002",,141,,"33,190",398,"6,039,121","199,802","30,225,582 ",Asia,30,"2,512",5,,,5,23 January 2020,2020-03-24,2020-07-21,120,
69,Belarus,994037,,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,9,"1,325",1,,,141,28 February 2020,Non-Lockdown,,,
70,Latvia,977788,,"6,329                                ",,"971,214",,245,13,"528,867","3,423","7,874,953","4,259,409","1,848,837 ",Europe,2,292,0,,,133,2 March 2020,Non-Lockdown,,,
71,Saudi Arabia,841469,,"9,646                                ",,"827,923",,"3,900",66,"23,475",269,"45,481,735","1,268,848","35,844,909 ",Asia,43,"3,716",1,,,109,2 March 2020,2020-03-29,2020-06-21,84,City
72,Azerbaijan,831599,,"10,260                                ",,"821,201",,138,,"80,736",996,"7,600,248","737,873","10,300,205 ",Asia,12,"1,004",1,,,13,28 February 2020,2020-03-31,2020-08-30,152,National
73,Paraguay,809955,,"19,921                                ",,N/A,N/A,N/A,7,"110,864","2,727","2,657,506","363,751","7,305,843 ",South America,9,367,3,,,"12,554",7 March 2020,2020-03-20,2020-05-03,44,National
74,Bahrain,720865,,"1,562                                ",,"718,905",,398,1,"404,076",876,"10,837,896","6,075,112","1,783,983 ",Asia,2,"1,142",0,,,223,24 February 2020,Non-Lockdown,,,
75,Sri Lanka,672232,,"16,850                                ",,"655,353",,29,,"31,157",781,"6,486,117","300,619","21,575,842 ",Asia,32,"1,280",3,,,1,27 January 2020,2020-03-18,2020-06-21,95,National
76,Kuwait,665741,,"2,570                                ",,"660,237",,"2,934",,"151,984",587,"8,455,743","1,930,391","4,380,326 ",Asia,7,"1,704",1,,,670,24 February 2020,2020-05-10,2020-05-31,21,National
77,Dominican Republic,661103,,"4,384                                ",,"644,785",,"11,934",4,"59,794",397,"3,740,928","338,350","11,056,370 ",North America,17,"2,522",3,,,"1,079",1 March 2020,Non-Lockdown,,,
78,Cyprus,660854,,"1,364                                ",,"657,086",,"2,404",60,"540,184","1,115","9,640,118","7,879,860","1,223,387 ",Asia,2,897,0,,,"1,965",9 March 2020,2020-03-24,2020-04-13,20,National
79,Myanmar,636388,,"19,492                                ",,"615,388",,"1,508",,"11,523",353,"10,462,121","189,438","55,227,143 ",Asia,87,"2,833",5,,,27,23 March 2020,2020-04-18,2020-07-01,74,City
80,Palestine,621008,,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,9,989,2,,,30,5 March 2020,Non-Lockdown,,,
81,Moldova,620419,,"12,113                                ",,"504,142",,"104,164",49,"154,596","3,018","3,216,305","801,437","4,013,171 ",Europe,6,331,1,,,"25,956",7 March 2020,Non-Lockdown,,,
82,Estonia,618200,,"3,001                                ",,"524,990",,"90,209",3,"467,657","2,270","3,706,919","2,804,214","1,321,910 ",Europe,2,440,0,,,"68,241",27 February 2020,2021-03-11,2021-04-11,31,National
83,Venezuela,552695,,"5,856                                ",,"546,537",,302,31,"18,885",200,"3,359,014","114,771","29,266,991 ",South America,53,"4,998",9,,,10,13 March 2020,2020-03-17,2020-05-13,57,National
84,Egypt,516023,,"24,613                                ",,"442,182",,"49,228",122,"4,861",232,"3,693,367","34,792","106,156,692 ",Africa,206,"4,313",29,,,464,14 February 2020,Non-Lockdown,,,
85,Qatar,510596,,690                                ,,"508,999",,907,29,"171,346",232,"4,065,369","1,364,257","2,979,915 ",Asia,6,"4,319",1,,,304,29 February 2020,2020-03-11,2020-06-15,96,Industrial park
86,Libya,507253,,"6,437                                ",,"500,815",,1,,"72,045",914,"2,483,848","352,782","7,040,745 ",Africa,14,"1,094",3,,,0.1,24 March 2020,2020-03-22,2020-06-27,97,National
87,Ethiopia,500862,,"7,574                                ",,"488,023",,"5,265",1,"4,146",63,"5,545,527","45,902","120,812,698 ",Africa,241,"15,951",22,,,44,13 March 2020,Non-Lockdown,,,
88,Réunion,486588,,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,2,986,1,,,"73,888",11 March 2020,Non-Lockdown,,,
